name,cn,attach
BeinMax 1,http://iptv.atlasiptv.net:88/live///5141.ts,WorldCup
BeinMax 2,http://iptv.atlasiptv.net:88/live///5142.ts,WorldCup
BeoutQ 1,http://iptv.atlasiptv.net:88/live///5143.ts,WorldCup
BeoutQ 2,http://iptv.atlasiptv.net:88/live///5144.ts,WorldCup
BeoutQ 3,http://iptv.atlasiptv.net:88/live///5145.ts,WorldCup
BeoutQ 4,http://iptv.atlasiptv.net:88/live///5146.ts,WorldCup
BeoutQ 5,http://iptv.atlasiptv.net:88/live///5147.ts,WorldCup
BeoutQ 6,http://iptv.atlasiptv.net:88/live///5148.ts,WorldCup
Bein Max1,http://iptv.atlasiptv.net:88/live///5141.ts,Bein
Bein Max2,http://iptv.atlasiptv.net:88/live///5142.ts,Bein
Bein News,http://iptv.ndasat.com:88/live///68.ts,Bein
Bein Sports,http://iptv.ndasat.com:88/live///1223.ts,Bein
Bein Sports 1 HD,http://iptv.ndasat.com:88/live///1034.ts,Bein
Bein Sports 2 HD,http://iptv.ndasat.com:88/live///1035.ts,Bein
Bein Sports 3 HD,http://iptv.ndasat.com:88/live///1036.ts,Bein
Bein Sports 4 HD,http://iptv.ndasat.com:88/live///1602.ts,Bein
Bein Sports 5 HD,http://iptv.ndasat.com:88/live///1603.ts,Bein
Bein Sports 6 HD,http://iptv.ndasat.com:88/live///1604.ts,Bein
Bein Sports 7 HD,http://iptv.ndasat.com:88/live///1605.ts,Bein
Bein Sports 8 HD,http://iptv.ndasat.com:88/live///79.ts,Bein
Bein Sports 9 HD,http://iptv.ndasat.com:88/live///80.ts,Bein
Bein Sports10 HD,http://iptv.ndasat.com:88/live///81.ts,Bein
Bein Sports11 HD,http://iptv.ndasat.com:88/live///82.ts,Bein
Bein Sports12 HD,http://iptv.ndasat.com:88/live///83.ts,Bein
BeinSports 1 SD,http://iptv.ndasat.com:88/live///1072.ts,Bein
BeinSports 2 SD,http://iptv.ndasat.com:88/live///1073.ts,Bein
BeinSports 3 SD,http://iptv.ndasat.com:88/live///1074.ts,Bein
BeinSports 4 SD,http://iptv.ndasat.com:88/live///1070.ts,Bein
BeinSports 5 SD,http://iptv.ndasat.com:88/live///1071.ts,Bein
BeinSports 6 SD,http://iptv.ndasat.com:88/live///77.ts,Bein
BeinSports 7 SD,http://iptv.ndasat.com:88/live///78.ts,Bein
MBC-Action HD,http://iptv.ndasat.com:88/live///1710.ts,MBC
MBC-Action SD,http://iptv.ndasat.com:88/live///226.ts,MBC
MBC-Bollywood HD,http://iptv.ndasat.com:88/live///872.ts,MBC
MBC-Bollywood SD,http://iptv.ndasat.com:88/live///230.ts,MBC
MBC-Drama HD,http://iptv.ndasat.com:88/live///1709.ts,MBC
MBC-Drama SD,http://iptv.ndasat.com:88/live///228.ts,MBC
MBC-Masr,http://iptv.ndasat.com:88/live///227.ts,MBC
MBC-Masr2,http://iptv.ndasat.com:88/live///643.ts,MBC
MBC-Max HD,http://iptv.ndasat.com:88/live///1708.ts,MBC
MBC-Max SD,http://iptv.ndasat.com:88/live///229.ts,MBC
MBC-PRO1,http://iptv.ndasat.com:88/live///716.ts,MBC
MBC-PRO2,http://iptv.ndasat.com:88/live///717.ts,MBC
MBC-PRO3,http://iptv.ndasat.com:88/live///718.ts,MBC
MBC-Variety HD,http://iptv.ndasat.com:88/live///1707.ts,MBC
MBC+Drama,http://iptv.ndasat.com:88/live///1475.ts,MBC
MBC1-HD,http://iptv.ndasat.com:88/live///1714.ts,MBC
MBC1-SD,http://iptv.ndasat.com:88/live///222.ts,MBC
MBC1-SD Europe,http://iptv.atlasiptv.net:88/live///3955.ts,MBC
MBC2-HD,http://iptv.ndasat.com:88/live///1713.ts,MBC
MBC2-SD,http://iptv.ndasat.com:88/live///223.ts,MBC
MBC3-HD,http://iptv.ndasat.com:88/live///1712.ts,MBC
MBC3-SD,http://iptv.ndasat.com:88/live///1424.ts,MBC
MBC4-HD,http://iptv.ndasat.com:88/live///1711.ts,MBC
MBC4-SD,http://iptv.ndasat.com:88/live///225.ts,MBC
1-TF1,http://iptv.ndasat.com:88/live///295.ts,French
2-France2,http://iptv.ndasat.com:88/live///278.ts,French
3-France3,http://iptv.ndasat.com:88/live///279.ts,French
4-France4,http://iptv.ndasat.com:88/live///280.ts,French
5-France5,http://iptv.ndasat.com:88/live///281.ts,French
