name,ts,attach
MBC 1 HD~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/776.ts~,Arabic
MBC 2 HD~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/775.ts~,Arabic
MBC 3 HD~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/774.ts~,Arabic
MBC 4 HD~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/773.ts~,Arabic
MBC ACTION HD~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/772.ts~,Arabic
MBC DRAMA HD~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/771.ts~,Arabic
MBC MAX HD~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/769.ts~,Arabic
MBC Bollywood HD~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/6926.ts~,Arabic
MBC MSR~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/6927.ts~,Arabic
MBC MSR2~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/6928.ts~,Arabic
MBC DRAMA +~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/770.ts~,Arabic
MBC P Variety HD~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/768.ts~,Arabic
SeeVii Shamiya HD~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/805.ts~,Arabic
Rotana Aflam~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/261.ts~,Arabic
Rotana Cinema~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/260.ts~,Arabic
Rotana Classic~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/259.ts~,Arabic
Rotana Clip~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/258.ts~,Arabic
Rotana Khalijiah~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/257.ts~,Arabic
Rotana Masriya~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/256.ts~,Arabic
Rotana Music~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/255.ts~,Arabic
MTV Lebanon~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/338.ts~,Arabic
Al Jadeed~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/647.ts~,Arabic
NBN~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/334.ts~,Arabic
LDC~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/382.ts~,Arabic
LBC Sat~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/383.ts~,Arabic
Al-ManarTV~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/6955.ts~,Arabic
Future International~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/6964.ts~,Arabic
OTV Lebanon~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/293.ts~,Arabic
Tele Liban~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/187.ts~,Arabic
Hawakom~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/446.ts~,Arabic
Al Iman~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/650.ts~,Arabic
Alaan TV~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/593.ts~,Arabic
Nour El Sham~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/314.ts~,Arabic
Orient~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/295.ts~,Arabic
Sama TV~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/243.ts~,Arabic
Sham FM~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/227.ts~,Arabic
Syria Medical~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/200.ts~,Arabic
Syrian Education~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/197.ts~,Arabic
Syria Satellite~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/199.ts~,Arabic
Syrian Drama TV~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/198.ts~,Arabic
Al Ekhbariya Al Soriya~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/672.ts~,Arabic
Ma3akom~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/372.ts~,Arabic
Al Khabar~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/633.ts~,Arabic
Shada Al Hurrieh~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/228.ts~,Arabic
Syria-Halab Today~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/6961.ts~,Arabic
Abu Dhabi TV~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/706.ts~,Arabic
Abu Dhabi Drama~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/707.ts~,Arabic
Nat Geo Abu Dhabi~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/335.ts~,Arabic
AD Sport 1~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/705.ts~,Arabic
AD Sport 2~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/704.ts~,Arabic
abu dahbi sport3~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/779.ts~,Arabic
abu dahbi sport4~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/780.ts~,Arabic
YAS Sports~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/141.ts~,Arabic
Dubai TV~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/496.ts~,Arabic
Dubai One TV~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/501.ts~,Arabic
Al Emarat TV~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/670.ts~,Arabic
Noor Dubai~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/317.ts~,Arabic
Dubai Zaman~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/495.ts~,Arabic
Dubai Racing Channel~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/499.ts~,Arabic
Dubai Sports 1~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/498.ts~,Arabic
Dubai Racing 3~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/500.ts~,Arabic
Dubai Sports 4~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/497.ts~,Arabic
Sama Dubai~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/244.ts~,Arabic
Ajman TV~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/692.ts~,Arabic
City 7~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/517.ts~,Arabic
Sharjah Sports~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/224.ts~,Arabic
Sharjah TV~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/223.ts~,Arabic
Fujairah TV~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/459.ts~,Arabic
DMC HD~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/8503.ts~,Arabic
DMC Drama~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/8502.ts~,Arabic
DMC Sport~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/8501.ts~,Arabic
ONTV Drama~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/8499.ts~,Arabic
ONTV E~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/8498.ts~,Arabic
ONTV Live~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/297.ts~,Arabic
ONTV Sport~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/8500.ts~,Arabic
ONTV Egypt~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/298.ts~,Arabic
CBC~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/530.ts~,Arabic
CBC 2~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/529.ts~,Arabic
CBC Drama~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/528.ts~,Arabic
CBC Sofra~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/526.ts~,Arabic
CBC Extra~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/527.ts~,Arabic
Al Hayat~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/659.ts~,Arabic
Al Hayat 2~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/658.ts~,Arabic
Al Hayat Life~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/657.ts~,Arabic
Al Hayat Series~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/656.ts~,Arabic
Al Nahar~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/619.ts~,Arabic
Al Nahar 2~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/618.ts~,Arabic
Al Nahar Cinema~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/617.ts~,Arabic
Al Nahar Drama 2~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/615.ts~,Arabic
Al Nahar Drama~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/616.ts~,Arabic
Al Ahly Club~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/689.ts~,Arabic
Cairo Cinema~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/538.ts~,Arabic
Cairo Drama~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/537.ts~,Arabic
Cairo One~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/535.ts~,Arabic
Cairo Film~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/536.ts~,Arabic
Nile Cinema~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/328.ts~,Arabic
Nile Comedy~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/327.ts~,Arabic
Nile Culture~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/326.ts~,Arabic
Nile Drama~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/325.ts~,Arabic
Nile Family~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/324.ts~,Arabic
Nile Life~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/323.ts~,Arabic
Nile News~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/322.ts~,Arabic
Nile Sports~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/321.ts~,Arabic
Nile TV~,http://iptv.oneiptv.tv:8080/live/227843730628346/227843730628346/320.ts~,Arabic
