name,ch,logo,attach
BeInSport News HD (H265),http://cdnv.cdn-for-all.com/iptv/ch5135?code=104311061936337,http://logo.ddnb.tn/logochanel/5135.png,H265
BeInSport HD (H265),http://cdnv.cdn-for-all.com/iptv/ch5134?code=104311061936337,http://logo.ddnb.tn/logochanel/5134.png,H265
MBC1 HD (H265),http://cdnv.cdn-for-all.com/iptv/ch5059?code=104311061936337,http://logo.ddnb.tn/logochanel/5059.png,H265
AL Jazeera HD (H265),http://cdnv.cdn-for-all.com/iptv/ch5142?code=104311061936337,http://logo.ddnb.tn/logochanel/5142.png,H265
Bein Movie 1,http://cdnv.cdn-for-all.com/iptv/ch520?code=104311061936337,http://logo.ddnb.tn/logochanel/520.png,Bein Sports
Bein Movie 2,http://cdnv.cdn-for-all.com/iptv/ch519?code=104311061936337,http://logo.ddnb.tn/logochanel/519.png,Bein Sports
Bein Movie 3,http://cdnv.cdn-for-all.com/iptv/ch518?code=104311061936337,http://logo.ddnb.tn/logochanel/518.png,Bein Sports
Bein Movie 4,http://cdnv.cdn-for-all.com/iptv/ch521?code=104311061936337,http://logo.ddnb.tn/logochanel/521.png,Bein Sports
B Junior,http://cdnv.cdn-for-all.com/iptv/ch527?code=104311061936337,http://logo.ddnb.tn/logochanel/527.png,Bein Sports
Bein Sport,http://cdnv.cdn-for-all.com/iptv/ch400?code=104311061936337,http://logo.ddnb.tn/logochanel/400.png,Bein Sports
Bein Sports News,http://cdnv.cdn-for-all.com/iptv/ch110?code=104311061936337,http://logo.ddnb.tn/logochanel/110.png,Bein Sports
BeInSport Max 1 HD,http://cdnv.cdn-for-all.com/iptv/ch540?code=104311061936337,http://logo.ddnb.tn/logochanel/540.png,Bein Sports
BeInSport Max 2 HD,http://cdnv.cdn-for-all.com/iptv/ch541?code=104311061936337,http://logo.ddnb.tn/logochanel/541.png,Bein Sports
BeInSport 1 HD,http://cdnv.cdn-for-all.com/iptv/ch111?code=104311061936337,http://logo.ddnb.tn/logochanel/111.png,Bein Sports
BeInSport 2 HD,http://cdnv.cdn-for-all.com/iptv/ch112?code=104311061936337,http://logo.ddnb.tn/logochanel/112.png,Bein Sports
BeInSport 3 HD,http://cdnv.cdn-for-all.com/iptv/ch113?code=104311061936337,http://logo.ddnb.tn/logochanel/113.png,Bein Sports
BeInSport 4 HD,http://cdnv.cdn-for-all.com/iptv/ch114?code=104311061936337,http://logo.ddnb.tn/logochanel/114.png,Bein Sports
BeInSport 5 HD,http://cdnv.cdn-for-all.com/iptv/ch115?code=104311061936337,http://logo.ddnb.tn/logochanel/115.png,Bein Sports
BeInSport 6 HD,http://cdnv.cdn-for-all.com/iptv/ch116?code=104311061936337,http://logo.ddnb.tn/logochanel/116.png,Bein Sports
